stt,name,name (english),type,address,license no,issue date,phone,fax,website,email
1,Công ty TNHH Quốc Tế S.H.I.N W.A.L.L,SHIN WALL INTERNATIONAL COMPANY LIMITED,International Travel,"SỐ NHÀ 6, NGÕ 109 QUAN NHÂN",01-053/2022/TCDL-GP LHQT,22/04/2013,(024) 3556 5709,,www.shinwall.com.vn,shin-wall@shinwall.com.vn
2,CÔNG TY TNHH DU LỊCH BẮC BỘ,TONKIN TRAVEL COMPANY LIMITED,International Travel,"SỐ 5B, NGÕ 111 XUÂN DIỆU",01-276/2017/TCDL-GP LHQT,18/10/2024,024 3719 1180,,www.tonkintravel.com,info@tonkintravel.com
3,CÔNG TY CỔ PHẦN HÒN NGỌC ĐÔNG DƯƠNG,INDOCHINA PEARL JOINT STOCK COMPANY,International Travel,"SỐ 34, NGÕ 79/40 DƯƠNG QUẢNG HÀM,",01-204/2021/TCDL-GP LHQT,20/05/2021,2437679456,2437679455,www.indochinapearl.com,sea@indochinapearl.com
4,TỔNG CÔNG TY DU LỊCH HÀ NỘI - CÔNG TY TNHH,HANOITOURISM CORPORATION,International Travel,"SỐ 18, PHỐ LÝ THƯỜNG KIỆT, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành phố Hà Nội",01-442/2019/TCDL-GP LHQT,20/08/2024,024 3972 6292,024 3972 6293,www.hanoitourist.com.vn,vanphong@hanoitourist.com.vn
5,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH TÂN HỒNG,TAN HONG TRADING AND TOURISM COMPANY LIMITED,International Travel,"Ô đất 05 – Dãy E – Lô số 15, Khu đô thị Trung Yên, đường Trung Yên 15D, Phường Yên Hòa, thành phố Hà Nội",01-048/2018/CDLQGVN-GP LHQT,17/07/2025,869925577,,,tanhongcoltd@gmail.com
6,Công ty TNHH Hài Vệ Nữ,HAIVENU COMPANY LIMITED,International Travel,"12 Nguyễn Trung Trực, Q. Ba Đình, Tp. Hà Nội",01-300/2014/TCDL-GP LHQT,10/07/2014,(024) 3927 2917,(024) 3927 2916,http://www.haivenu-vietnam.com,haivenu@fpt.vn
7,CÔNG TY TNHH AT TRAVEL VIETNAM,AT TRAVEL VIETNAM COMPANY LIMITED,International Travel,"Số 67, ngõ 7 đường Phạm Hùng",01-100/2018/CDLQGVN-GP LHQT,15/09/2025,+84 243 766 5618,+84 243 766 5617,www.attravel.vn,info@attravel.vn
8,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NAM LONG,NAM LONG TRAVEL AND TRADING COMPANY LIMITED,International Travel,"CĂN HỘ 3315A, TÒA NHÀ SỐ G3, KĐT VINHOMES GREEN BAY, P. MỄ TRÌ, Q. NAM TỪ LIÊM, TP. HÀ NỘI, VIỆT NAM",01-151/2019/TCDL-GP LHQT,08/02/2010,8424 3926 3484,8424 3926 0570,www.namlongtour.vn,congtynamlong@vnn.vn
9,Công ty TNHH Việt - Ý,VIET - Y CO LTD,International Travel,"57 Hàng Chuối, Q. Hai Bà Trưng, Tp. Hà Nội",01-288/2014/TCDL-GP LHQT,31/12/2014,(024) 3821 3265 / 0903 401 442,(024) 3821 3256,www.viet-y.com,info@viet-y.com
10,Công ty TNHH Du lịch Thế Giới Việt Nam,VIETNAM WORLD TRAVEL COMPANY LIMITED,International Travel,"26/11 Yên Lạc, Q. Hai Bà Trưng, Tp. Hà Nội",01-167/2014/TCDL-GP LHQT,31/12/2014,(024) 3862 1839,(024) 3636 0887,www.vietnamwtravel.com,vietnamwtravel@hn.vnn.vn
